Date,Open,High,Low,Close,Volume
2016-05-20,701.62,714.58,700.52,709.74,1828387
2016-05-19,702.36,706,696.8,700.32,1656321
2016-05-18,703.67,711.6,700.63,706.63,1763394
2016-05-17,715.99,721.52,704.11,706.23,1999456
2016-05-16,709.13,718.48,705.65,716.49,1316177
2016-05-13,711.93,716.66,709.26,710.83,1307338
2016-05-12,717.06,719.25,709,713.31,1360732
2016-05-11,723.41,724.48,712.8,715.29,1686823
2016-05-10,716.75,723.5,715.72,723.18,1563105
2016-05-09,712,718.71,710,712.9,1508423
2016-05-06,698.38,711.86,698.11,711.12,1826146
2016-05-05,697.7,702.32,695.72,701.43,1677405
2016-05-04,690.49,699.75,689.01,695.7,1688569
2016-05-03,696.87,697.84,692,692.36,1530993
2016-05-02,697.63,700.64,691,698.21,1644126
2016-04-29,690.7,697.62,689,693.01,2484273
2016-04-28,708.26,714.17,689.55,691.02,2851108
2016-04-27,707.29,708.98,692.37,705.84,3086722
2016-04-26,725.42,725.77,703.03,708.14,2727185
2016-04-25,716.1,723.93,715.59,723.15,1955567
2016-04-22,726.3,736.12,713.61,718.77,5939199
2016-04-21,755.38,760.45,749.55,759.14,2743620
2016-04-20,758,758.13,750.01,752.67,1525591
2016-04-19,769.51,769.9,749.33,753.93,2027642
2016-04-18,760.46,768.05,757.3,766.61,1555953
2016-04-15,753.98,761,752.69,759,1800413
2016-04-14,754.01,757.31,752.7,753.2,1130971
2016-04-13,749.16,754.38,744.26,751.72,1707095
2016-04-12,738,743.83,731.01,743.09,1349734
2016-04-11,743.02,745,736.05,736.1,1211762
2016-04-08,743.97,745.45,735.55,739.15,1285755
2016-04-07,745.37,747,736.28,740.28,1429504
2016-04-06,735.77,746.24,735.56,745.69,1050193
2016-04-05,738,742.8,735.37,737.8,1129829
2016-04-04,750.06,752.8,742.43,745.29,1131843
2016-04-01,738.6,750.34,737,749.91,1574870
2016-03-31,749.25,750.85,740.94,744.95,1712375
2016-03-30,750.1,757.88,748.74,750.53,1780998
2016-03-29,734.59,747.25,728.76,744.77,1902128
2016-03-28,736.79,738.99,732.5,733.53,1299812
